title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate
Rep,Robert,B.,Aderholt,,,R,AL,04,1,M,202-225-4876,202-225-5587,http://aderholt.house.gov,http://aderholt.house.gov/?sectionid=195&amp;sectiontree=195,2369 Rayburn House Office Building,A000055,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,19787529402,,,7/22/1965
Rep,Justin,,Amash,,,R,MI,03,1,M,202-225-3831,202-225-5144,http://amash.house.gov,http://amash.house.gov/contact-me/email-me,114 Cannon House Office Building,A000367,105566,H0MI03126,412438,N00031938,RepJustinAmash,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,1.74E+14,,,4/18/1980
Rep,Mark,E.,Amodei,,,R,NV,02,1,M,202-225-6155,202-225-5679,http://amodei.house.gov,https://amodei.house.gov/contact-me,222 Cannon House Office Building,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,3.07E+14,,,6/12/1958
Rep,Spencer,Thomas,Bachus,III,,R,AL,06,1,M,202-225-4921,202-225-2082,http://bachus.house.gov,http://www.house.gov/writerep/,2246 Rayburn House Office Building,B000013,26715,H2AL06035,400010,N00008091,BachusAL06,http://www.opencongress.org/wiki/Spencer_Bachus,http://youtube.com/congressmanbachus,6769692966,,,12/28/1947
Rep,Joe,Linus,Barton,,,R,TX,06,1,M,202-225-2002,202-225-3052,http://joebarton.house.gov,https://forms.house.gov/barton/webforms/zip_authen.html,2107 Rayburn House Office Building,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,15617630596,,,9/15/1949
Rep,Xavier,,Becerra,,,D,CA,34,1,M,202-225-6235,202-225-2202,http://becerra.house.gov,https://forms.house.gov/becerra/webforms/issue_subscribe.html,1226 Longworth House Office Building,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,90311772229,,,1/26/1958
Rep,Sanford,D.,Bishop,Jr.,,D,GA,02,1,M,202-225-3631,202-225-2203,http://bishop.house.gov,http://bishop.house.gov/contact-me/email-me,2429 Rayburn House Office Building,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,3.67E+11,,,2/4/1947
Rep,Earl,,Blumenauer,,,D,OR,03,1,M,202-225-4811,202-225-8941,http://blumenauer.house.gov,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,1111 Longworth House Office Building,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,,,,8/16/1948
Rep,John,A.,Boehner,,,R,OH,08,1,M,202-225-6205,202-225-0704,http://johnboehner.house.gov,http://www.johnboehner.house.gov/Contact/,1011 Longworth House Office Building,B000589,27015,H0OH08029,400036,N00003675,SpeakerBoehner,http://www.opencongress.org/wiki/John_Boehner,http://youtube.com/johnboehner,,,,11/17/1949
Rep,Kevin,P.,Brady,,,R,TX,08,1,M,202-225-4901,202-225-5524,http://kevinbrady.house.gov,http://kevinbrady.house.gov/contact-kevin/,301 Cannon House Office Building,B000755,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,9307301412,,,4/11/1955
Rep,Corrine,,Brown,,,D,FL,05,1,F,202-225-0123,202-225-2256,http://corrinebrown.house.gov,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,2111 Rayburn House Office Building,B000911,26797,H2FL03056,400048,N00002713,RepCorrineBrown,http://www.opencongress.org/wiki/Corrine_Brown,http://youtube.com/CongresswomanBrown,1.79E+14,,,11/11/1946
Rep,Robert,A.,Brady,,Bob,D,PA,01,1,M,202-225-4731,202-225-0088,http://www.brady.house.gov,http://www.brady.house.gov/contact-me/email-me,102 Cannon House Office Building,B001227,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,http://youtube.com/BradyPA01,1.19E+11,,,4/7/1945
